country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
AFG,2003,18.97,NA,NA,NA,63.34,9.74,26.92,NA,15.74,78.75,22645130,22.35
AGO,2003,27.36,NA,NA,1653.56,36.51,8.9,54.59,NA,75.63,79,18124342,53.65
ARG,2003,96.3,NA,99.43,7455.37,12.24,19.4,68.36,NA,48.57,74.24,38278164,89.69
ARM,2003,99.11,NA,85.53,1739.81,43.83,17.18,38.99,NA,55.06,68.28,3084102,64.14
AUS,2003,100,NA,95.02,NA,3.91,20.88,75.2,70.22,55.9,71.53,19720737,84.34
AUT,2003,100,NA,87.47,33473.8,5.5,28.92,65.58,54.71,50.78,68.22,8121423,59.38
BHR,2003,100,NA,93.39,13060.21,1.46,29.13,69.41,NA,37.54,85.76,778256,88.38
BGD,2003,40.47,NA,NA,682.87,51.73,13.68,34.58,51.61,28.68,86.77,136503206,25.43
BRB,2003,99.97,NA,91.68,NA,4.56,17.61,77.84,57.06,63.93,75.2,267499,33.23
BLR,2003,90.51,NA,99.47,1989.23,17.21,32.77,50.02,NA,54.54,66.14,9796749,71.42
BEL,2003,100,NA,97.97,31690.24,1.72,24.92,73.36,33.51,42.95,60.28,10376133,97.3
BLZ,2003,81.84,NA,93.85,3604.26,22,17.61,60.39,NA,40.62,79.81,263998,45.35
BEN,2003,24.27,NA,84.6,762.79,49.79,18.47,31.74,53.91,65.76,78.08,7659208,39.54
BTN,2003,41.1,NA,NA,1199.13,67.56,8.14,24.31,NA,62.72,76.08,634627,28.69
BOL,2003,72.3,NA,96.68,1776.23,35.08,20.52,44.4,NA,59.85,80.67,9057378,63.25
BIH,2003,99.04,NA,NA,2420.81,19.37,33.94,46.69,NA,30.26,56.58,4183757,43.33
BWA,2003,33.07,NA,87.66,2436.91,21.22,22.64,56.14,NA,50.4,66.67,1826863,55.03
BRA,2003,96.98,NA,94.3,5681.36,16.5,21.96,61.53,64.04,53.48,77.75,182629278,82.2
BGR,2003,89.61,NA,96.28,3599.71,11.14,32.13,56.73,29.23,44.8,55.52,7775327,69.88
BFA,2003,11.4,NA,39.05,407.72,83.22,4.78,12.01,NA,64.91,86.39,13030591,20
BDI,2003,3.4,NA,52.98,99.11,91.17,2.39,6.44,NA,82.55,80.06,6860846,8.91
CPV,2003,63.65,NA,96.14,NA,23.47,15,61.53,NA,45.24,75.49,480089,56
KHM,2003,19.3,NA,98.06,467.09,66.1,11.76,22.14,77.74,70.73,80.38,12787710,18.94
CMR,2003,45.09,NA,NA,924.02,63.99,10.26,25.75,NA,78,85.86,16354326,47.34
CAN,2003,100,NA,NA,31298.31,2.11,22.97,74.92,67.33,61.89,73.42,31644028,79.97
CAF,2003,6.56,NA,NA,NA,75.69,6.94,17.37,NA,63.31,77.42,4026841,37.88
TCD,2003,4.09,NA,57.6,NA,79.81,3.61,16.58,NA,58.25,77.31,9196366,21.74
CHL,2003,98.78,NA,NA,6276.51,13.6,23.39,63.01,36.08,37.82,72.82,15859112,86.67
CHN,2003,97.45,NA,NA,2106.05,49.1,21.6,29.3,NA,68.58,81.58,1288400000,39.78
