urb,age,hhchildsuppgrant,no_schooling,secondary,female,married,groupafrican,groupcoloured,hourlyincome,agemp
1,21,0,0,1,1,0,0,1,2.806833,0
0,28,0,0,0,1,1,0,1,2.0083251,0
0,22,0,0,0,0,1,0,1,2.2960074,1
1,19,0,0,1,1,0,0,1,1.8260037,1
0,37,0,0,0,1,1,0,1,1.9595351,0
1,47,0,1,0,1,0,0,1,2.0344126,0
0,29,0,0,0,0,1,0,1,2.099297,0
1,44,0,0,1,1,1,0,1,3.250808,0
0,36,0,0,0,1,1,0,1,1.4693288,1
1,21,0,0,1,1,0,0,1,2.9609838,0
0,29,0,0,0,0,0,0,1,2.099297,0
1,29,0,0,0,1,1,0,1,2.9507034,0
0,37,0,0,0,0,1,0,1,2.1521957,1
0,18,0,0,0,0,0,0,1,2.519151,0
0,43,0,1,0,1,1,0,1,1.7082208,1
0,54,0,0,0,0,1,0,1,2.3500745,1
1,31,0,0,0,0,1,0,1,3.250808,0
1,38,0,0,1,1,1,0,1,2.3910875,0
0,32,0,0,0,0,1,0,1,2.244714,1
1,32,0,0,1,1,0,1,0,2.8350039,0
0,24,0,0,0,1,0,0,1,3.2383854,1
0,45,0,0,0,0,1,0,1,1.9801544,1
0,48,0,1,0,0,1,0,1,2.1624761,1
0,34,0,0,0,0,1,0,1,2.8591881,0
0,19,0,0,0,1,1,0,1,2.4814105,1
0,45,0,0,0,0,0,0,1,2.0728638,1
1,20,0,0,0,0,0,0,1,2.7014725,0
0,24,0,0,0,1,1,0,1,2.0083251,0
0,30,0,0,0,1,0,0,1,3.250808,0
0,34,1,0,0,1,0,0,1,3.7512944,1
1,33,0,0,0,1,1,0,1,3.1330249,0
0,41,0,0,0,1,1,0,1,1.7082208,0
0,61,0,0,0,0,1,0,1,2.1444573,1
1,35,0,0,1,0,1,0,1,3.0691972,0
0,37,0,0,1,1,1,0,1,1.6028602,0
0,26,0,0,0,1,1,0,1,2.2314687,1
0,35,0,0,1,0,0,0,1,2.3500745,1
0,33,0,0,0,0,1,0,1,2.5576608,1
0,43,0,0,0,0,1,0,1,3.771914,0
0,18,0,0,1,0,0,0,1,1.7699142,1
1,56,1,1,0,0,1,0,1,2.806833,0
0,25,0,0,0,0,1,0,1,2.0623925,1
0,40,0,0,0,0,1,0,1,2.4137905,1
0,23,0,0,0,1,1,0,1,2.1418567,0
0,55,0,0,0,0,1,0,1,2.1906469,1
0,50,0,0,0,1,1,0,1,2.0491474,0
0,28,0,0,0,1,1,0,1,2.0083251,0
0,35,0,0,1,1,0,0,1,3.0945151,0
0,23,0,0,0,0,1,0,1,2.1782243,1
0,44,0,1,0,0,1,0,1,2.8453429,1
0,29,0,0,0,0,0,1,0,2.7275598,0
0,43,0,0,0,1,1,0,1,1.7570108,0
1,45,0,0,0,1,0,0,1,2.7014725,0
1,30,0,0,0,1,1,0,1,3.0640321,0
0,51,0,0,0,1,1,0,1,1.9705849,1
0,38,0,0,0,0,0,0,1,1.9705849,1
1,27,0,0,1,1,1,1,0,1.4590485,0
0,35,0,0,1,0,1,0,1,2.0934832,1
1,32,0,0,1,0,0,0,1,2.2960074,0
0,58,0,0,0,0,1,0,1,2.6245115,0
1,41,0,0,0,1,1,0,1,2.6221993,0
0,50,0,0,0,0,1,0,1,2.0381782,1
