sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,calls,fulltime,parttime,managers,post
506,2,1,0,0,0,0,1,0,0,0,3,7,2,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,0
62,4,1,0,0,0,0,1,0,0,2,0,31,5,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,0
451,1,0,0,0,0,0,0,1,0,0,10,17,5,0
455,2,1,0,0,0,0,0,1,0,0,2,8,5,0
458,2,1,0,0,0,0,1,0,0,2,2,10,2,0
462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,0
468,1,0,0,0,0,0,0,1,0,0,40,30,3,0
469,1,0,0,0,0,0,0,1,0,0,8,27,5,0
470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,0
474,1,0,0,0,0,0,0,1,0,2,6,9,3,0
481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,0
483,2,1,0,0,0,0,0,1,0,0,1,15,1,0
487,3,1,0,0,0,0,0,1,0,0,10,6,2,0
488,3,0,0,0,0,0,0,1,0,1,20,13,3,0
489,3,0,0,0,0,0,0,1,0,2,5,23,2,0
490,3,1,0,0,0,0,0,1,0,0,10,12.5,4,0
493,3,1,0,0,0,0,1,0,0,0,27,12,3,0
495,3,0,0,0,0,0,0,1,0,2,4,28,3,0
496,3,1,0,0,0,0,0,1,0,0,10,15,3,0
499,4,1,0,0,0,0,0,1,0,0,0,28,5,0
509,3,1,0,0,0,0,0,1,0,2,3,16,3,0
515,3,1,0,0,0,0,0,1,0,0,7,16,4,0
37,1,0,0,0,0,0,1,0,0,2,21,9,7,0
39,1,0,0,0,0,0,1,0,0,0,1,32,2,0
40,1,0,0,0,0,0,1,0,0,0,10,20,7,0
41,1,0,0,0,0,0,1,0,0,0,0,27,6,0
42,1,0,0,0,0,0,1,0,0,2,17,4,5,0
45,1,0,0,0,0,0,1,0,0,0,0,24,6,0
47,1,0,0,0,0,0,1,0,0,2,25,15,.,0
48,1,0,0,0,0,0,1,0,0,0,6,20,3,0
50,2,0,0,0,0,0,1,0,0,0,6,10,3,0
51,2,0,0,0,0,0,1,0,0,1,0,15,3,0
57,4,1,0,0,0,0,1,0,0,0,30,10,3,0
58,4,1,0,0,0,0,1,0,0,2,8,25,3,0
59,4,0,0,0,0,0,1,0,0,3,0,15,3,0
60,4,0,0,0,0,0,1,0,0,0,10,20,5,0
407,2,1,0,0,0,0,0,1,0,0,2,12,3,0
430,1,0,0,0,0,0,1,0,0,0,20,25,4,0
432,1,0,0,0,0,0,1,0,0,0,20,55,5,0
433,1,0,0,0,0,0,1,0,0,0,10,30,4,0
434,1,0,0,0,0,0,1,0,0,2,15,50,5,0
435,1,0,0,0,0,0,1,0,0,1,1,37.5,3,0
438,2,0,0,0,0,0,1,0,0,2,0,9,3,0
440,4,0,0,0,0,0,1,0,0,2,0,25,3,0
441,4,0,0,0,0,0,1,0,0,2,30,10,3,0
443,4,0,0,0,0,0,1,0,0,0,4,19,4,0
444,4,0,0,0,0,0,1,0,0,2,12,20,3,0
446,1,0,0,0,0,0,0,1,0,2,.,.,3,0
448,1,0,0,0,0,0,0,1,0,0,8,18,4,0
449,1,0,0,0,0,0,0,1,0,2,0,25,3,0
450,1,0,0,0,0,0,0,1,0,0,2,21,3,0
454,2,1,0,0,0,0,0,1,0,0,1,9,3,0
459,3,1,0,0,0,0,0,1,0,0,5,20,3,0
466,4,0,0,0,0,0,0,1,0,2,8,17.5,4,0
471,1,0,0,0,0,0,0,1,0,2,25,20,4,0
472,1,0,0,0,0,0,0,1,0,2,37.5,2,3,0
473,1,0,0,0,0,0,0,1,0,0,5,27,4,0
475,1,0,0,0,0,0,0,1,0,1,25,8,3,0
476,1,0,0,0,0,0,1,0,0,2,6,30,3,0
477,1,0,0,0,0,0,0,1,0,1,8,28,4,0
478,1,0,0,0,0,0,1,0,0,0,32,25,4,0
485,2,1,0,0,0,0,0,1,0,2,1,9,3,0
491,3,0,0,0,0,0,0,1,0,0,4,25,2,0
492,3,1,0,0,0,0,0,1,0,0,2,16,3,0
