distfe,wave,length,expectedlength
1-1,64,6083.5883661958715,2367.731240906172
1-12,64,4988.281729094656,2129.9962983234172
1-16,64,96162.37505860337,60676.075163507085
1-16,68,61279.49104690016,95279.51895277241
1-17,64,13263.345210529547,17504.40083862662
1-17,68,31809.918278397054,27117.673492128793
1-18,64,29904.589201044444,36475.90246473974
1-18,68,63419.9453902276,56198.71119844679
1-19,64,73600.27425082398,134423.20771952794
1-19,68,265320.3425197372,201389.5106789828
1-20,61,8294.307300654667,1247.9095134921276
1-20,64,70755.75157906601,53838.79562929651
1-20,68,59290.57881180661,83253.93254873867
1-21,68,2146.6696977387564,1315.9085247138576
1-22,68,3347.445505321207,1974.9928481395125
1-3,64,103411.44381768267,103411.44381768267
1-4,64,3015.2178599390313,3015.2178599390313
1-5,64,33156.09356161372,17931.203588420216
1-5,68,13582.65331370048,28365.89567700768
1-6,64,22281.99542813949,8658.394213372068
1-7,64,6524.9661641538205,3817.105206029985
1-9,68,12596.472587287306,7759.427113768984
10-1,61,50729.71175007088,85228.13160170797
10-1,64,97530.7889956793,136481.0908041643
10-1,68,393173.3417405088,319724.62008038664
10-10,61,19858.49943943931,51740.69518790979
10-10,64,134047.30422993546,82276.99582356558
10-10,68,172485.98102468712,192374.0936825865
10-11,61,21243.953931013,24065.766066983804
10-11,64,95189.29519242619,38144.157133469314
10-11,68,34491.121730937884,88714.44765392393
10-12,61,11094.040585341125,24278.916414475374
10-12,64,56485.30701479469,37417.45686337186
10-12,68,81838.49188216917,87721.46620445777
10-13,61,16243.076888240585,16587.840526567532
10-13,64,42708.07785434213,25938.170615575607
10-13,68,44396.09824622286,60821.24184666243
10-14,61,44405.51038417564,131996.20953150935
10-14,64,249507.63741081284,206728.6954482106
10-14,68,532764.5632162541,487952.80603152275
10-15,64,11471.778772417982,7324.2833605431215
10-15,68,17509.56805162273,17168.006858205586
10-16,61,34434.25960482975,24420.570351129554
10-16,64,63434.926798240944,39312.936541208976
10-16,68,56731.66873384076,90867.34824457293
10-17,61,6192.7992673665085,8475.084768061619
10-17,64,5808.7960076282225,13252.51469543989
10-17,68,40331.21749869274,30605.21331018597
10-18,61,6106.71916623433,38234.55684903749
10-18,64,80352.86558822333,60778.80332977294
10-18,68,155573.8421139419,143020.06668958915
10-19,61,10157.174275793528,36475.25935321632
10-19,64,111991.80618394008,57672.10051096212
10-19,68,106432.54694104275,134434.1675365979
10-2,61,10929.638282131098,16806.571298208502
10-2,64,43938.509544780216,25928.473555733395
10-2,68,50349.72661246585,62482.829585435255
