res_id,ability,age,educyears,isfarmer,yearsfarming,yearsmanagingfarm,outsidewage,worriedaboutcropprices,worriedaboutcropyields
501,74,83,16,Yes,60,46,3000000,Sometimes,Sometimes
502,42,27,7,Yes,17,17,9999999999,Not at all,Sometimes
503,67,49,7,Yes,20,5,6000000,Sometimes,Not at all
504,54,50,7,Yes,15,10,9999999999,Not at all,Sometimes
505,57,70,4,Yes,40,26,9999999999,All the time,Sometimes
506,72,45,7,Yes,15,15,800000,Sometimes,All the time
507,51,58,7,Yes,30,25,2000000,Sometimes,All the time
508,65,41,7,Yes,20,15,9999999999,All the time,Sometimes
509,54,45,7,Yes,20,10,300000,Sometimes,Sometimes
510,24,70,,Yes,60,50,9999999999,Sometimes,All the time
511,24,24,11,Yes,12,7,9999999999,Not at all,Sometimes
512,49,45,,Yes,30,25,9999999999,All the time,Sometimes
513,39,37,7,Yes,13,5,9999999999,Sometimes,Sometimes
514,57,62,7,Yes,15,7,9999999999,Sometimes,All the time
515,22,68,7,Yes,8,8,9999999999,Sometimes,All the time
516,27,44,,Yes,30,28,3000000,All the time,Sometimes
517,31,25,6,Yes,10,10,9999999999,All the time,All the time
518,60,36,7,Yes,20,18,600000,All the time,Sometimes
519,69,56,6,Yes,41,34,2000000,All the time,Sometimes
520,52,35,13,Yes,23,18,6000000,Not at all,Sometimes
521,35,42,4,Yes,17,15,800000,All the time,Sometimes
522,72,30,,Yes,20,8,1152000,Not at all,All the time
523,51,65,4,Yes,50,50,9999999999,Not at all,Not at all
524,28,35,7,Yes,15,10,9999999999,Sometimes,All the time
525,58,56,7,Yes,40,15,9999999999,Sometimes,Not at all
526,62,38,7,Yes,20,14,7000000,Sometimes,All the time
527,57,38,7,Yes,25,15,9999999999,All the time,All the time
528,40,40,7,Yes,19,16,9999999999,All the time,All the time
529,79,42,7,Yes,30,22,100000,Sometimes,All the time
530,59,30,7,Yes,15,10,5000,Sometimes,Sometimes
531,57,56,7,Yes,41,36,2000000,Sometimes,Sometimes
532,35,23,,Yes,15,5,200000,Sometimes,Not at all
533,36,28,7,Yes,20,9,600000,Sometimes,Sometimes
534,65,50,,Yes,40,30,9999999999,All the time,Sometimes
535,57,40,7,Yes,28,20,9999999999,All the time,Sometimes
536,30,32,7,Yes,20,15,9999999999,Sometimes,All the time
537,29,50,7,Yes,40,20,100000,Sometimes,Not at all
538,29,30,7,Yes,16,12,9999999999,Sometimes,Sometimes
539,26,56,7,Yes,40,40,7000000,Sometimes,Sometimes
540,30,27,7,Yes,7,3,9999999999,All the time,Sometimes
541,61,44,7,Yes,32,22,340000,Sometimes,All the time
542,59,39,7,Yes,20,17,9999999999,Sometimes,Sometimes
543,83,56,4,Yes,38,38,9999999999,All the time,Sometimes
1001,38,62,7,Yes,50,45,9999999999,Not at all,Not at all
1002,48,60,,Yes,19,19,9999999999,All the time,Sometimes
1003,42,65,,Yes,45,30,9999999999,All the time,Sometimes
1004,58,65,4,Yes,45,20,5000000,Not at all,Not at all
1005,49,40,,Yes,12,10,9999999999,Sometimes,Not at all
1006,64,32,7,Yes,9,5,300000,Sometimes,Sometimes
1007,57,65,7,Yes,40,20,5000000,Sometimes,All the time
1008,73,52,5,Yes,30,20,9999999999,Sometimes,Sometimes
1009,47,35,7,Yes,10,6,500000,Sometimes,Not at all
1010,60,69,8,Yes,40,36,9999999999,Sometimes,Sometimes
1011,56,36,7,Yes,12,8,9999999999,Not at all,Not at all
1012,60,30,7,Yes,7,6,9999999999,Not mentioned,Not mentioned
1013,75,32,,Yes,20,5,360000,Not at all,Not at all
1014,65,46,7,Yes,22,10,4000000,All the time,Sometimes
1015,56,60,,Yes,40,20,9999999999,All the time,Sometimes
1016,58,49,7,Yes,20,19,9999999999,Sometimes,Sometimes
1017,53,37,7,Yes,24,18,200000,Sometimes,Not at all
1018,63,52,7,Yes,39,20,500000,Sometimes,Not at all
1019,37,78,10,Yes,51,50,9999999999,Sometimes,Sometimes
1020,74,47,7,Yes,9,4,200000,Sometimes,Sometimes
1021,69,39,7,Yes,17,15,2200000,Sometimes,Not mentioned
1022,89,54,11,Yes,27,26,3000000,All the time,Sometimes
1023,49,79,7,Yes,40,21,300000,Sometimes,Sometimes
1024,59,42,4,Yes,14,5,350000,Sometimes,Sometimes
1025,54,30,7,Yes,20,10,300000,Sometimes,Sometimes
1026,61,45,7,Yes,25,25,700000,All the time,Sometimes
1027,63,42,7,Yes,23,13,9999999999,Not at all,Not at all
1028,46,25,7,Yes,15,7,9999999999,Sometimes,Sometimes
1029,52,64,4,Yes,49,30,100000,Sometimes,All the time
1030,64,36,7,Yes,20,14,9999999999,Sometimes,Sometimes
1031,57,29,7,Yes,12,6,200000,Sometimes,Sometimes
1032,89,39,7,Yes,20,20,1000000,All the time,All the time
1033,70,46,7,Yes,26,16,9999999999,Sometimes,Sometimes
1034,49,36,7,Yes,26,7,9999999999,Sometimes,Sometimes
1035,62,49,,Yes,6,4,60000,Sometimes,Not at all
1036,38,79,,Yes,46,45,9999999999,Sometimes,All the time
1037,51,32,7,Yes,10,10,9999999999,All the time,Sometimes
1038,49,29,7,Yes,12,7,100000,Sometimes,Sometimes
1039,70,38,7,Yes,20,14,3500000,All the time,Sometimes
1040,69,45,7,Yes,35,20,300000,Sometimes,Sometimes
1041,75,47,11,Yes,25,8,9999999999,Sometimes,All the time
1042,50,40,7,Yes,25,14,50000,Sometimes,All the time
1043,55,40,7,Yes,25,10,6000000,Sometimes,Sometimes
1044,54,51,8,Yes,30,24,3000000,Sometimes,Sometimes
1045,66,30,7,Yes,13,10,1200000,All the time,All the time
1046,47,38,8,Yes,10,10,1000000,All the time,Sometimes
1047,44,63,7,Yes,43,30,1200000,All the time,Sometimes
1048,49,30,7,Yes,19,10,800000,Sometimes,Sometimes
1049,43,65,,Yes,38,30,9999999999,Not at all,Sometimes
1050,69,34,7,Yes,20,17,240000,Not at all,Sometimes
1051,61,34,7,Yes,24,14,9999999999,All the time,All the time
1052,51,50,,Yes,40,20,9999999999,Sometimes,Sometimes
1053,51,29,7,Yes,15,10,9999999999,All the time,All the time
1054,46,55,12,Yes,40,16,2400000,Sometimes,Not at all
1055,46,37,7,Yes,13,5,7000000,Sometimes,Sometimes
1056,59,75,8,Yes,50,29,9999999999,All the time,Sometimes
1057,55,36,7,Yes,25,15,5000000,Sometimes,Sometimes
1058,48,31,7,Yes,20,11,12000000,Sometimes,Sometimes
1059,86,53,11,Yes,9,4,500000,Sometimes,Sometimes
1060,77,60,7,Yes,48,34,1000000,Sometimes,Sometimes
1061,54,51,7,Yes,25,12,70000,Sometimes,Sometimes
1062,51,48,,Yes,30,18,9999999999,Sometimes,Sometimes
1063,59,41,7,Yes,27,19,9999999999,Sometimes,Sometimes
1064,84,52,7,Yes,35,20,700000,Sometimes,Sometimes
1065,52,44,7,Yes,26,20,9999999999,All the time,Not at all
1066,55,59,6,Yes,36,18,9999999999,Not at all,Sometimes
1067,58,52,7,Yes,6,4,30000,Sometimes,Sometimes
1068,49,35,7,Yes,21,5,1000000,All the time,All the time
1069,59,32,7,Yes,19,9,9999999999,Sometimes,Sometimes
1070,57,31,7,Yes,12,5,200000,Sometimes,Sometimes
1071,68,32,7,Yes,12,8,2000000,Sometimes,All the time
1072,65,65,7,Yes,30,20,9999999999,Sometimes,Sometimes
1073,58,36,7,Yes,12,4,800000,Sometimes,Sometimes
1074,64,37,7,Yes,23,10,1200000,Sometimes,All the time
1075,47,60,7,Yes,40,35,850000,Not at all,Sometimes
1076,98,42,7,Yes,29,10,2000000,Not at all,Not at all
1077,51,37,7,Yes,20,8,900000,All the time,Not at all
1078,77,37,11,Yes,10,10,1000000,Sometimes,Sometimes
1079,53,30,7,Yes,10,10,100000,Sometimes,Sometimes
1080,69,47,7,Yes,20,3,400000,Sometimes,Sometimes
1081,42,43,7,Yes,20,20,9999999999,Not at all,Sometimes
1082,48,43,,Yes,29,28,200000,Not at all,Sometimes
1083,51,32,,Yes,11,9,60000,Sometimes,Sometimes
1084,67,28,7,Yes,3,3,3000000000,Sometimes,Sometimes
1085,61,37,7,Yes,30,19,3600000,All the time,Sometimes
1086,57,63,8,Yes,4,2,9999999999,All the time,Sometimes
1087,43,42,7,Yes,19,16,9999999999,Sometimes,Sometimes
